date,title_sentiment_score,chunked_sentiment_score
2021-01-02,0.12014506943523885,0.16380340066195148
2021-01-04,-0.8755821548402309,-0.8688929472118616
2021-01-10,-0.0841641891747713,-0.043223356102438
2021-02-07,-0.0792734287679195,0.1026138502250735
2021-03-01,0.1505486462265253,0.0127422722835777
2021-03-05,0.2035099444910884,0.0337965895591134
2021-03-07,-0.2836559396237135,-0.2016656055923674
2021-04-02,0.16045616893097756,0.13112325518702458
2021-05-02,-0.06357666539649169,0.11939063685121461
2021-05-03,-0.0005316566675901,0.0417303142766876
2021-06-02,0.0164671018719673,-0.0841024762019515
2021-06-09,0.0999410543590784,0.1117944568395614
2021-07-02,0.1162579441443085,0.3233931603841483
2021-07-07,-0.8727959785610437,-0.6206239145249128
2021-07-10,0.3708589617162943,0.3900072779506445
2021-08-03,0.0091425776481628,0.0067495536059141
2021-08-06,-0.9634993616491556,-0.8140307479538024
2021-08-12,0.0351812653243541,0.0174077684059739
2021-09-02,0.3841659588118394,0.07185350564282593
2021-09-05,0.7871705549769104,0.3159118356895359
2021-09-09,0.2425295300781726,0.0303079411387443
2021-09-11,0.0269207935780286,0.0245365040609613
2021-10-02,-0.0562046766281127,0.0636002719402313
2021-10-03,-0.7632938325405121,0.03596579330042
2021-10-04,-0.0232457313686609,-0.05926868907251465
2021-10-05,0.0247530452907085,-0.0782468678573003
2021-10-06,-0.2268675528466701,-0.1609163348829107
2021-10-12,0.0035077631473541,-0.0026638079434633502
2021-11-05,0.4910989254713058,0.3542726337909698
2021-11-12,-0.4563349597156048,-0.3255992350168526
2021-12-02,-0.0346321016550064,0.0524497711798176
2021-12-04,-0.4232759140431881,-0.3982901070266962
2021-12-07,0.4046265110373497,0.011922249703535
2021-12-10,-0.0054567828774452,-0.1209620058536529
2021-12-12,-0.038417674601078,-0.0391820855438709
2022-01-03,-0.33128599012270576,-0.3104956864288633
2022-02-02,-0.018512231297791,0.18993429134134202
2022-02-03,-0.2527042618021369,-0.21214869086844657
2022-03-01,0.0040315352380275,-0.0307102290151471
2022-03-02,-0.02795149013400075,-0.32205383760285455
2022-03-03,-0.20699421151287176,-0.29330611737514267
2022-04-01,0.004648583009839,0.3594055159224404
2022-05-02,-0.0810741130262613,-0.0514795128954574
2022-06-01,0.0618191808462142,-0.1674413060536608
2022-08-01,-0.1746084801852703,0.034298825606873
2022-09-02,-0.316767118871212,-0.8924152813851833
2022-10-01,0.004555769264698,-0.0021096832880919
2022-11-01,0.0049969144165515,-0.039813898038119
2022-11-02,-0.10817401334643362,-0.07351008590359834
2022-12-02,-0.28724630596116185,-0.3383292533748318
