date,title_sentiment_score,chunked_sentiment_score
2021-01-03,0.12014506943523885,0.16380340066195148
2021-01-10,-0.4798731720075011,-0.4560581516571498
2021-02-07,-0.0792734287679195,0.1026138502250735
2021-03-07,0.0234675503646334,-0.051708914583225435
2021-04-04,0.16045616893097756,0.13112325518702458
2021-05-02,-0.06357666539649169,0.11939063685121461
2021-05-09,-0.0005316566675901,0.0417303142766876
2021-06-06,0.0164671018719673,-0.0841024762019515
2021-06-13,0.0999410543590784,0.1117944568395614
2021-07-04,0.1162579441443085,0.3233931603841483
2021-07-11,-0.2509685084223747,-0.11530831828713417
2021-08-08,-0.4771783920004964,-0.4036405971739441
2021-08-15,0.0351812653243541,0.0174077684059739
2021-09-05,0.48491710785310715,0.13286808815450343
2021-09-12,0.1347251618281006,0.0274222225998528
2021-10-03,-0.4097492545843124,0.04978303262032564
2021-10-10,-0.06215149257332085,-0.08942514522131008
2021-10-17,0.0035077631473541,-0.0026638079434633502
2021-11-07,0.4910989254713058,0.3542726337909698
2021-11-14,-0.4563349597156048,-0.3255992350168526
2021-12-05,-0.22895400784909725,-0.1729201679234393
2021-12-12,0.12025068451960884,-0.049407280564662925
2022-01-09,-0.33128599012270576,-0.3104956864288633
2022-02-06,-0.2192482574443732,-0.15470826483847677
2022-03-06,-0.16634341226225452,-0.27865608538195896
2022-04-03,0.004648583009839,0.3594055159224404
2022-05-08,-0.0810741130262613,-0.0514795128954574
2022-06-05,0.0618191808462142,-0.1674413060536608
2022-08-07,-0.1746084801852703,0.034298825606873
2022-09-04,-0.316767118871212,-0.8924152813851833
2022-10-02,0.004555769264698,-0.0021096832880919
2022-11-06,-0.08931219205260277,-0.0678940545926851
2022-12-04,-0.28724630596116185,-0.3383292533748318
