Date,Price
2021-01-04,33.55713653564453
2021-01-05,33.918357849121094
2021-01-07,33.882240295410156
2021-01-08,33.52101516723633
2021-01-11,33.30428695678711
2021-01-12,33.015316009521484
2021-01-13,32.50960922241211
2021-01-14,32.4373664855957
2021-01-15,32.65409469604492
2021-01-18,32.50960922241211
2021-01-19,32.65409469604492
2021-01-20,32.50960922241211
2021-01-21,32.4373664855957
2021-01-22,32.473487854003906
2021-01-25,32.36511993408203
2021-01-26,32.184505462646484
2021-01-27,32.22063064575195
2021-01-28,31.57044219970703
2021-01-29,31.823293685913086
2021-02-01,31.67880630493164
2021-02-02,31.71492576599121
2021-02-03,31.642683029174805
2021-02-04,31.498199462890625
2021-02-05,31.787168502807617
2021-02-08,31.67880630493164
2021-02-09,31.100858688354492
2021-02-10,31.245346069335938
2021-02-11,31.823293685913086
2021-02-12,32.076148986816406
2021-02-15,32.00389862060547
2021-02-16,32.25675582885742
2021-02-17,32.22063064575195
2021-02-18,32.112266540527344
2021-02-19,33.59326171875
2021-02-22,33.12367248535156
2021-02-23,31.895540237426758
2021-02-24,32.22063064575195
2021-02-25,33.015316009521484
2021-02-26,32.184505462646484
2021-03-01,32.50960922241211
2021-03-02,33.015316009521484
2021-03-03,33.376529693603516
2021-03-04,32.36511993408203
2021-03-05,32.14838790893555
2021-03-08,32.50960922241211
2021-03-09,33.1598014831543
2021-03-10,33.882240295410156
2021-03-11,33.376529693603516
2021-03-12,33.195919036865234
2021-03-15,33.52101516723633
2021-03-16,34.387939453125
2021-03-17,33.6293830871582
2021-03-18,33.882240295410156
2021-03-19,33.84611129760742
2021-03-22,32.76245880126953
2021-03-23,32.72633743286133
2021-03-24,32.50960922241211
2021-03-25,32.870826721191406
2021-03-26,32.979190826416016
2021-03-29,33.44877624511719
2021-03-30,33.087554931640625
2021-03-31,33.087554931640625
2021-04-01,33.66550064086914
2021-04-06,33.59326171875
2021-04-07,33.2320442199707
2021-04-08,33.058658599853516
2021-04-09,33.73774719238281
2021-04-12,34.012271881103516
2021-04-13,33.80998992919922
2021-04-14,33.9544792175293
2021-04-15,33.968929290771484
2021-04-16,34.09896469116211
2021-04-19,33.679954528808594
2021-04-20,33.72330093383789
2021-04-21,33.66550064086914
2021-04-22,33.76665115356445
2021-04-23,33.54991149902344
2021-04-26,33.59326171875
2021-04-27,33.80998992919922
2021-04-28,34.24345016479492
2021-04-29,33.997825622558594
2021-04-30,33.679954528808594
2021-05-04,34.41683578491211
2021-05-05,34.4312858581543
2021-05-06,34.387939453125
2021-05-07,34.5035285949707
2021-05-10,34.86474609375
2021-05-11,35.26931381225586
2021-05-12,34.89364242553711
2021-05-13,34.460182189941406
2021-05-14,34.676910400390625
2021-05-17,34.604671478271484
2021-05-18,34.546875
2021-05-19,34.35904312133789
2021-05-20,34.286800384521484
2021-05-21,34.21455764770508
2021-05-24,35.00923538208008
2021-05-25,34.85029602050781
2021-05-26,35.312660217285156
2021-05-27,35.87615966796875
2021-05-28,36.121788024902344
