date,index_name,ticker,data_source,close_level
2021-01-04,WIG20,WIG20,Stooq,2008.75
2021-01-05,WIG20,WIG20,Stooq,2009.12
2021-01-07,WIG20,WIG20,Stooq,2074.11
2021-01-08,WIG20,WIG20,Stooq,2072.74
2021-01-11,WIG20,WIG20,Stooq,2066.97
2021-01-12,WIG20,WIG20,Stooq,2043.73
2021-01-13,WIG20,WIG20,Stooq,2023.36
2021-01-14,WIG20,WIG20,Stooq,2031.71
2021-01-15,WIG20,WIG20,Stooq,1985.68
2021-01-18,WIG20,WIG20,Stooq,2023.74
2021-01-19,WIG20,WIG20,Stooq,1980.12
2021-01-20,WIG20,WIG20,Stooq,1986.09
2021-01-21,WIG20,WIG20,Stooq,1953.49
2021-01-22,WIG20,WIG20,Stooq,1952.67
2021-01-25,WIG20,WIG20,Stooq,1945.78
2021-01-26,WIG20,WIG20,Stooq,1981.98
2021-01-27,WIG20,WIG20,Stooq,1929.21
2021-01-28,WIG20,WIG20,Stooq,1987.83
2021-01-29,WIG20,WIG20,Stooq,1948.01
2021-02-01,WIG20,WIG20,Stooq,1967.72
2021-02-02,WIG20,WIG20,Stooq,1954.02
2021-02-03,WIG20,WIG20,Stooq,1940.69
2021-02-04,WIG20,WIG20,Stooq,1927.02
2021-02-05,WIG20,WIG20,Stooq,1957.73
2021-02-08,WIG20,WIG20,Stooq,1952.1
2021-02-09,WIG20,WIG20,Stooq,1941.6
2021-02-10,WIG20,WIG20,Stooq,1917.54
2021-02-11,WIG20,WIG20,Stooq,1954.92
2021-02-12,WIG20,WIG20,Stooq,1937.07
2021-02-15,WIG20,WIG20,Stooq,1974.82
2021-02-16,WIG20,WIG20,Stooq,2004.54
2021-02-17,WIG20,WIG20,Stooq,1986.8
2021-02-18,WIG20,WIG20,Stooq,1980.77
2021-02-19,WIG20,WIG20,Stooq,1985.31
2021-02-22,WIG20,WIG20,Stooq,1961.62
2021-02-23,WIG20,WIG20,Stooq,1922.59
2021-02-24,WIG20,WIG20,Stooq,1937.9
2021-02-25,WIG20,WIG20,Stooq,1936.47
2021-02-26,WIG20,WIG20,Stooq,1907.28
2021-03-01,WIG20,WIG20,Stooq,1949.57
2021-03-02,WIG20,WIG20,Stooq,1959.52
2021-03-03,WIG20,WIG20,Stooq,1943.24
2021-03-04,WIG20,WIG20,Stooq,1944.86
