date,index_name,ticker,data_source,close_level
2021-01-04,CAC_40,^FCHI,Yahoo Finance,5588.9599609375
2021-01-05,CAC_40,^FCHI,Yahoo Finance,5564.60009765625
2021-01-06,CAC_40,^FCHI,Yahoo Finance,5630.60009765625
2021-01-07,CAC_40,^FCHI,Yahoo Finance,5669.85009765625
2021-01-08,CAC_40,^FCHI,Yahoo Finance,5706.8798828125
2021-01-11,CAC_40,^FCHI,Yahoo Finance,5662.43017578125
2021-01-12,CAC_40,^FCHI,Yahoo Finance,5650.97021484375
2021-01-13,CAC_40,^FCHI,Yahoo Finance,5662.669921875
2021-01-14,CAC_40,^FCHI,Yahoo Finance,5681.14013671875
2021-01-15,CAC_40,^FCHI,Yahoo Finance,5611.68994140625
2021-01-18,CAC_40,^FCHI,Yahoo Finance,5617.27001953125
2021-01-19,CAC_40,^FCHI,Yahoo Finance,5598.60986328125
2021-01-20,CAC_40,^FCHI,Yahoo Finance,5628.43994140625
2021-01-21,CAC_40,^FCHI,Yahoo Finance,5590.7900390625
2021-01-22,CAC_40,^FCHI,Yahoo Finance,5559.56982421875
2021-01-25,CAC_40,^FCHI,Yahoo Finance,5472.35986328125
2021-01-26,CAC_40,^FCHI,Yahoo Finance,5523.52001953125
2021-01-27,CAC_40,^FCHI,Yahoo Finance,5459.6201171875
2021-01-28,CAC_40,^FCHI,Yahoo Finance,5510.52001953125
2021-01-29,CAC_40,^FCHI,Yahoo Finance,5399.2099609375
2021-02-01,CAC_40,^FCHI,Yahoo Finance,5461.68017578125
2021-02-02,CAC_40,^FCHI,Yahoo Finance,5563.10986328125
2021-02-03,CAC_40,^FCHI,Yahoo Finance,5563.0498046875
2021-02-04,CAC_40,^FCHI,Yahoo Finance,5608.5400390625
2021-02-05,CAC_40,^FCHI,Yahoo Finance,5659.259765625
2021-02-08,CAC_40,^FCHI,Yahoo Finance,5686.02978515625
2021-02-09,CAC_40,^FCHI,Yahoo Finance,5691.5400390625
2021-02-10,CAC_40,^FCHI,Yahoo Finance,5670.7998046875
2021-02-11,CAC_40,^FCHI,Yahoo Finance,5669.81982421875
2021-02-12,CAC_40,^FCHI,Yahoo Finance,5703.669921875
2021-02-15,CAC_40,^FCHI,Yahoo Finance,5786.25
2021-02-16,CAC_40,^FCHI,Yahoo Finance,5786.52978515625
2021-02-17,CAC_40,^FCHI,Yahoo Finance,5765.83984375
2021-02-18,CAC_40,^FCHI,Yahoo Finance,5728.330078125
2021-02-19,CAC_40,^FCHI,Yahoo Finance,5773.5498046875
2021-02-22,CAC_40,^FCHI,Yahoo Finance,5767.43994140625
2021-02-23,CAC_40,^FCHI,Yahoo Finance,5779.83984375
2021-02-24,CAC_40,^FCHI,Yahoo Finance,5797.97998046875
2021-02-25,CAC_40,^FCHI,Yahoo Finance,5783.89013671875
2021-02-26,CAC_40,^FCHI,Yahoo Finance,5703.22021484375
2021-03-01,CAC_40,^FCHI,Yahoo Finance,5792.7900390625
2021-03-02,CAC_40,^FCHI,Yahoo Finance,5809.72998046875
2021-03-03,CAC_40,^FCHI,Yahoo Finance,5830.06005859375
2021-03-04,CAC_40,^FCHI,Yahoo Finance,5830.64990234375
2021-03-05,CAC_40,^FCHI,Yahoo Finance,5782.64990234375
2021-03-08,CAC_40,^FCHI,Yahoo Finance,5902.990234375
2021-03-09,CAC_40,^FCHI,Yahoo Finance,5924.97021484375
2021-03-10,CAC_40,^FCHI,Yahoo Finance,5990.5498046875
2021-03-11,CAC_40,^FCHI,Yahoo Finance,6033.759765625
2021-03-12,CAC_40,^FCHI,Yahoo Finance,6046.5498046875
2021-03-15,CAC_40,^FCHI,Yahoo Finance,6035.97021484375
2021-03-16,CAC_40,^FCHI,Yahoo Finance,6055.43017578125
2021-03-17,CAC_40,^FCHI,Yahoo Finance,6054.81982421875
2021-03-18,CAC_40,^FCHI,Yahoo Finance,6062.7900390625
