date,index_name,ticker,data_source,close_level
2021-01-04,DAX,^GDAXI,Yahoo Finance,13726.740234375
2021-01-05,DAX,^GDAXI,Yahoo Finance,13651.2197265625
2021-01-06,DAX,^GDAXI,Yahoo Finance,13891.9697265625
2021-01-07,DAX,^GDAXI,Yahoo Finance,13968.240234375
2021-01-08,DAX,^GDAXI,Yahoo Finance,14049.5302734375
2021-01-11,DAX,^GDAXI,Yahoo Finance,13936.66015625
2021-01-12,DAX,^GDAXI,Yahoo Finance,13925.0595703125
2021-01-13,DAX,^GDAXI,Yahoo Finance,13939.7099609375
2021-01-14,DAX,^GDAXI,Yahoo Finance,13988.7001953125
2021-01-15,DAX,^GDAXI,Yahoo Finance,13787.73046875
2021-01-18,DAX,^GDAXI,Yahoo Finance,13848.349609375
2021-01-19,DAX,^GDAXI,Yahoo Finance,13815.0595703125
2021-01-20,DAX,^GDAXI,Yahoo Finance,13921.3701171875
2021-01-21,DAX,^GDAXI,Yahoo Finance,13906.669921875
2021-01-22,DAX,^GDAXI,Yahoo Finance,13873.9697265625
2021-01-25,DAX,^GDAXI,Yahoo Finance,13643.9501953125
2021-01-26,DAX,^GDAXI,Yahoo Finance,13870.990234375
2021-01-27,DAX,^GDAXI,Yahoo Finance,13620.4599609375
2021-01-28,DAX,^GDAXI,Yahoo Finance,13665.9296875
2021-01-29,DAX,^GDAXI,Yahoo Finance,13432.8701171875
2021-02-01,DAX,^GDAXI,Yahoo Finance,13622.01953125
2021-02-02,DAX,^GDAXI,Yahoo Finance,13835.16015625
2021-02-03,DAX,^GDAXI,Yahoo Finance,13933.6298828125
2021-02-04,DAX,^GDAXI,Yahoo Finance,14060.2900390625
2021-02-05,DAX,^GDAXI,Yahoo Finance,14056.7197265625
2021-02-08,DAX,^GDAXI,Yahoo Finance,14059.91015625
2021-02-09,DAX,^GDAXI,Yahoo Finance,14011.7998046875
2021-02-10,DAX,^GDAXI,Yahoo Finance,13932.9697265625
2021-02-11,DAX,^GDAXI,Yahoo Finance,14040.91015625
2021-02-12,DAX,^GDAXI,Yahoo Finance,14049.8896484375
2021-02-15,DAX,^GDAXI,Yahoo Finance,14109.48046875
2021-02-16,DAX,^GDAXI,Yahoo Finance,14064.599609375
2021-02-17,DAX,^GDAXI,Yahoo Finance,13909.26953125
2021-02-18,DAX,^GDAXI,Yahoo Finance,13886.9296875
2021-02-19,DAX,^GDAXI,Yahoo Finance,13993.23046875
2021-02-22,DAX,^GDAXI,Yahoo Finance,13950.0400390625
2021-02-23,DAX,^GDAXI,Yahoo Finance,13864.8095703125
2021-02-24,DAX,^GDAXI,Yahoo Finance,13976.0
2021-02-25,DAX,^GDAXI,Yahoo Finance,13879.330078125
2021-02-26,DAX,^GDAXI,Yahoo Finance,13786.2900390625
2021-03-01,DAX,^GDAXI,Yahoo Finance,14012.8203125
2021-03-02,DAX,^GDAXI,Yahoo Finance,14039.7998046875
2021-03-03,DAX,^GDAXI,Yahoo Finance,14080.0302734375
2021-03-04,DAX,^GDAXI,Yahoo Finance,14056.33984375
2021-03-05,DAX,^GDAXI,Yahoo Finance,13920.6904296875
2021-03-08,DAX,^GDAXI,Yahoo Finance,14380.91015625
2021-03-09,DAX,^GDAXI,Yahoo Finance,14437.9404296875
2021-03-10,DAX,^GDAXI,Yahoo Finance,14540.25
2021-03-11,DAX,^GDAXI,Yahoo Finance,14569.3896484375
2021-03-12,DAX,^GDAXI,Yahoo Finance,14502.3896484375
2021-03-15,DAX,^GDAXI,Yahoo Finance,14461.419921875
2021-03-16,DAX,^GDAXI,Yahoo Finance,14557.580078125
2021-03-17,DAX,^GDAXI,Yahoo Finance,14596.6103515625
2021-03-18,DAX,^GDAXI,Yahoo Finance,14775.51953125
2021-03-19,DAX,^GDAXI,Yahoo Finance,14621.0
2021-03-22,DAX,^GDAXI,Yahoo Finance,14657.2099609375
2021-03-23,DAX,^GDAXI,Yahoo Finance,14662.01953125
2021-03-24,DAX,^GDAXI,Yahoo Finance,14610.3896484375
