date,index_name,ticker,data_source,close_level
2021-03-31,FTSE_100,^FTSE,Yahoo Finance,6713.60009765625
2021-04-01,FTSE_100,^FTSE,Yahoo Finance,6737.2998046875
2021-04-06,FTSE_100,^FTSE,Yahoo Finance,6823.60009765625
2021-04-07,FTSE_100,^FTSE,Yahoo Finance,6885.2998046875
2021-04-08,FTSE_100,^FTSE,Yahoo Finance,6942.2001953125
2021-04-09,FTSE_100,^FTSE,Yahoo Finance,6915.7998046875
2021-04-12,FTSE_100,^FTSE,Yahoo Finance,6889.10009765625
2021-04-13,FTSE_100,^FTSE,Yahoo Finance,6890.5
2021-04-14,FTSE_100,^FTSE,Yahoo Finance,6939.60009765625
2021-04-15,FTSE_100,^FTSE,Yahoo Finance,6983.5
2021-04-16,FTSE_100,^FTSE,Yahoo Finance,7019.5
2021-04-19,FTSE_100,^FTSE,Yahoo Finance,7000.10009765625
2021-04-20,FTSE_100,^FTSE,Yahoo Finance,6859.89990234375
2021-04-21,FTSE_100,^FTSE,Yahoo Finance,6895.2998046875
2021-04-22,FTSE_100,^FTSE,Yahoo Finance,6938.2001953125
2021-04-23,FTSE_100,^FTSE,Yahoo Finance,6938.60009765625
2021-04-26,FTSE_100,^FTSE,Yahoo Finance,6963.10009765625
2021-04-27,FTSE_100,^FTSE,Yahoo Finance,6945.0
2021-04-28,FTSE_100,^FTSE,Yahoo Finance,6963.7001953125
2021-04-29,FTSE_100,^FTSE,Yahoo Finance,6961.5
2021-04-30,FTSE_100,^FTSE,Yahoo Finance,6969.7998046875
2021-05-04,FTSE_100,^FTSE,Yahoo Finance,6923.2001953125
2021-05-05,FTSE_100,^FTSE,Yahoo Finance,7039.2998046875
2021-05-06,FTSE_100,^FTSE,Yahoo Finance,7076.2001953125
2021-05-07,FTSE_100,^FTSE,Yahoo Finance,7129.7001953125
2021-05-10,FTSE_100,^FTSE,Yahoo Finance,7123.7001953125
2021-05-11,FTSE_100,^FTSE,Yahoo Finance,6948.0
2021-05-12,FTSE_100,^FTSE,Yahoo Finance,7004.60009765625
2021-05-13,FTSE_100,^FTSE,Yahoo Finance,6963.2998046875
2021-05-14,FTSE_100,^FTSE,Yahoo Finance,7043.60009765625
2021-05-17,FTSE_100,^FTSE,Yahoo Finance,7032.89990234375
2021-05-18,FTSE_100,^FTSE,Yahoo Finance,7034.2001953125
2021-05-19,FTSE_100,^FTSE,Yahoo Finance,6950.2001953125
2021-05-20,FTSE_100,^FTSE,Yahoo Finance,7019.7998046875
2021-05-21,FTSE_100,^FTSE,Yahoo Finance,7018.10009765625
2021-05-24,FTSE_100,^FTSE,Yahoo Finance,7051.60009765625
2021-05-25,FTSE_100,^FTSE,Yahoo Finance,7029.7998046875
2021-05-26,FTSE_100,^FTSE,Yahoo Finance,7026.89990234375
2021-05-27,FTSE_100,^FTSE,Yahoo Finance,7019.7001953125
2021-05-28,FTSE_100,^FTSE,Yahoo Finance,7022.60009765625
2021-06-01,FTSE_100,^FTSE,Yahoo Finance,7080.5
2021-06-02,FTSE_100,^FTSE,Yahoo Finance,7108.0
2021-06-03,FTSE_100,^FTSE,Yahoo Finance,7064.39990234375
2021-06-04,FTSE_100,^FTSE,Yahoo Finance,7069.0
2021-06-07,FTSE_100,^FTSE,Yahoo Finance,7077.2001953125
2021-06-08,FTSE_100,^FTSE,Yahoo Finance,7095.10009765625
2021-06-09,FTSE_100,^FTSE,Yahoo Finance,7081.0
