index_name,variable,unit,n,mean,standard_deviation,minimum,percentile_25,median,percentile_75,maximum,minimum_date,maximum_date
EURO_STOXX_50,garch_volatility,percentage-return standard-deviation units,758,1.1396649615681085,0.4037099694118591,0.6280440695229812,0.8560827247573385,1.0459305280341806,1.3152769431873708,3.7349890465652344,2021-11-18,2022-03-10
DAX,garch_volatility,percentage-return standard-deviation units,766,1.085710078486038,0.3895402196303134,0.598092214232362,0.8198702471162636,0.9820237234661686,1.2686132362842084,3.7201754648988565,2021-11-16,2022-03-10
CAC_40,garch_volatility,percentage-return standard-deviation units,769,1.060946405412029,0.34334297113049295,0.6353640858159323,0.8353004154098325,0.9758651306988957,1.194984270868576,3.3276040768417023,2023-12-28,2022-03-10
FTSE_100,garch_volatility,percentage-return standard-deviation units,753,0.8828926347652993,0.23338502840790934,0.6380317987097568,0.7253347364587271,0.8113845987019189,0.9612177576237302,2.2587648244292358,2023-04-25,2022-02-28
WIG20,garch_volatility,percentage-return standard-deviation units,751,1.446478665058057,0.3839073268086678,0.9382217336577143,1.212627059056604,1.3571426121355297,1.608245735423747,3.7474378830985113,2021-08-16,2022-02-28
