index_name,coefficient,hac_standard_error,p_value,ci_lower_95,ci_upper_95,nobs,expected_sign_negative,observed_sign,ci_excludes_zero
EURO_STOXX_50,-0.0088023265301553685,0.030342176054046981,0.77173819134921162,-0.068271898808661108,0.050667245748350367,401,True,negative,False
DAX,-0.01160379968180187,0.02413789545246323,0.63070872453079452,-0.058913205431222949,0.03570560606761921,406,True,negative,False
CAC_40,-0.013180859299880483,0.021938895647017152,0.54797409087526716,-0.056180304628616666,0.029818586028855697,407,True,negative,False
FTSE_100,-0.010544970081450031,0.021448069471592435,0.62296590937488305,-0.052582413783684237,0.031492473620784167,397,True,negative,False
WIG20,0.0079130388611421514,0.013885200502884,0.56875221269137854,-0.019301454042627935,0.035127531764912234,402,True,positive,False
