index_name,term,coefficient,hac_standard_error,t_statistic,p_value,ci_lower_95,ci_upper_95,nobs,r_squared,hac_max_lags
EURO_STOXX_50,const,0.10758658592524314,0.020953665244314836,5.1344996052389265,2.8289568778424117e-07,0.066518156702277398,0.14865501514820889,401,0.87834546596383467,5
EURO_STOXX_50,sentiment_lag1,-0.0088023265301553685,0.030342176054046981,-0.29010201886892456,0.77173819134921162,-0.068271898808661108,0.050667245748350367,401,0.87834546596383467,5
EURO_STOXX_50,attention_lag1,0.0071534852151317356,0.0019214109320789454,3.7230376364059423,0.00019684016580985071,0.0033875889887554664,0.010919381441508004,401,0.87834546596383467,5
EURO_STOXX_50,volatility_lag1,0.88676561452315361,0.019549889115473139,45.359112232575569,0,0.84844853595507463,0.92508269309123259,401,0.87834546596383467,5
EURO_STOXX_50,return_lag1,-1.7642384850270336,1.8787872446697562,-0.93903047832174447,0.34771509623908881,-5.4465938191929988,1.9181168491389313,401,0.87834546596383467,5
DAX,const,0.083276904750941225,0.01877552188661263,4.435397601934012,9.190250839562202e-06,0.04647755806223694,0.12007625143964551,406,0.90371549252189443,5
DAX,sentiment_lag1,-0.01160379968180187,0.02413789545246323,-0.4807295526096797,0.63070872453079452,-0.058913205431222949,0.03570560606761921,406,0.90371549252189443,5
DAX,attention_lag1,0.0065134365636405804,0.001992169810322159,3.269518757834843,0.0010773059423208103,0.002608855484321158,0.010418017642960003,406,0.90371549252189443,5
DAX,volatility_lag1,0.90227166434508488,0.01834718703872229,49.177656631548665,0,0.86631183853156912,0.93823149015860063,406,0.90371549252189443,5
DAX,return_lag1,-1.4582921731409666,2.1085222265843666,-0.69161811753973323,0.48917718088404805,-5.5909197978485281,2.6743354515665949,406,0.90371549252189443,5
CAC_40,const,0.089745954728702601,0.019250969719481335,4.6618926753535277,3.1331457754309033e-06,0.052014747411048036,0.12747716204635717,407,0.9062816700367673,5
CAC_40,sentiment_lag1,-0.013180859299880483,0.021938895647017152,-0.60079866880959321,0.54797409087526716,-0.056180304628616666,0.029818586028855697,407,0.9062816700367673,5
CAC_40,attention_lag1,0.0062805530173323312,0.0016793747701885965,3.7398162273374007,0.00018415484144075831,0.0029890389512174523,0.009572067083447211,407,0.9062816700367673,5
CAC_40,volatility_lag1,0.89798689887114391,0.020034152859013027,44.822803598962999,0,0.85872068080670827,0.93725311693557956,407,0.9062816700367673,5
CAC_40,return_lag1,-1.4850320262790404,1.5291676206562705,-0.97113750397207044,0.33147981005000293,-4.4821454890901382,1.5120814365320576,407,0.9062816700367673,5
FTSE_100,const,0.13967498935642547,0.022699840727686781,6.1531264043657012,7.5970206201818209e-10,0.095184119075363893,0.18416585963748705,397,0.78754401503829596,5
FTSE_100,sentiment_lag1,-0.010544970081450031,0.021448069471592435,-0.49165124606746757,0.62296590937488305,-0.052582413783684237,0.031492473620784167,397,0.78754401503829596,5
FTSE_100,attention_lag1,0.0044976589777828936,0.0026323881269113224,1.7085850417735176,0.087527841382206331,-0.00066172694429415119,0.0096570448998599383,397,0.78754401503829596,5
FTSE_100,volatility_lag1,0.82699178208170876,0.0313839427957886,26.350793062007572,5.0261133310426124e-153,0.76548038450909783,0.88850317965431969,397,0.78754401503829596,5
FTSE_100,return_lag1,-3.9682763517185373,1.5082464927965358,-2.6310529284644342,0.0085120778209525575,-6.9243851574085973,-1.0121675460284769,397,0.78754401503829596,5
WIG20,const,0.10598914946852536,0.030183245147793927,3.5115226659540295,0.00044554746721824513,0.046831076042305922,0.16514722289474482,402,0.96105080692300959,5
WIG20,sentiment_lag1,0.0079130388611421514,0.013885200502884,0.56989014018908746,0.56875221269137854,-0.019301454042627935,0.035127531764912234,402,0.96105080692300959,5
WIG20,attention_lag1,0.0080430528791780847,0.0042193232560518842,1.9062423974370124,0.056618763850885441,-0.00022666874181588061,0.016312774500172052,402,0.96105080692300959,5
WIG20,volatility_lag1,0.91313620691387765,0.026452738542301787,34.519533977687779,4.0854916612057795e-261,0.86128979207851153,0.96498262174924376,402,0.96105080692300959,5
WIG20,return_lag1,-0.95980987054519118,0.69654378828733032,-1.3779605628314946,0.16821546457792991,-2.325010609243451,0.40539086815306868,402,0.96105080692300959,5
