index_name,variable,n,mean,std,min,25%,median,75%,max
EURO_STOXX_50,garch_volatility,401,1.2645900498168623,0.45325804662949321,0.63844755903338235,0.94297550052376755,1.197537106511237,1.4559337978875169,3.7349890465652336
EURO_STOXX_50,sentiment_lag1,401,-0.10688910471479537,0.20385914533328733,-0.87558182142674923,-0.21575983507292609,-0.10978467386487729,0.0047997196520848003,0.90958293713629235
EURO_STOXX_50,attention_lag1,401,3.7381546134663344,5.7761376010301992,1,1,2,4,58
EURO_STOXX_50,volatility_lag1,401,1.2730797140139876,0.45486062573610653,0.6425005644691919,0.94777097956300105,1.2011931479927489,1.4641958246768236,3.7349890465652336
EURO_STOXX_50,return_lag1,401,-0.00022584384078653475,0.012662138048417818,-0.050922309321029598,-0.0070281425738985999,0.00059260606300660002,0.0062379826927716001,0.071745478929380699
DAX,garch_volatility,406,1.2068631789691502,0.44418129697164649,0.59809221423236203,0.88925116963516171,1.1140687033402692,1.3948391461193201,3.720175464898857
DAX,sentiment_lag1,406,-0.10551741495504387,0.20438318159887306,-0.87558182142674923,-0.21693378418778669,-0.1071688351145394,0.0051193613870809751,0.90958293713629235
DAX,attention_lag1,406,3.6921182266009853,5.7440285210107982,1,1,2,4,58
DAX,volatility_lag1,406,1.2168888510134375,0.44597483187146209,0.59809221423236203,0.91056185677331136,1.1273070677487029,1.4079158978709563,3.720175464898857
DAX,return_lag1,406,-0.00023943383723778119,0.012092625173533135,-0.045083713794355301,-0.0059281418505695502,2.2240775994073642e-05,0.0066900626015432996,0.0762318940690664
CAC_40,garch_volatility,407,1.1672110065975529,0.39643410495544468,0.63536408581593229,0.89922946580925389,1.0897161912460138,1.3141961572815188,3.3276040768417023
CAC_40,sentiment_lag1,407,-0.10552789962067,0.20420094497049041,-0.87558182142674923,-0.21654246781616648,-0.1063647357154299,0.0050128141420822496,0.90958293713629235
CAC_40,attention_lag1,407,3.6830466830466833,5.7394394394484305,1,1,2,4,58
CAC_40,volatility_lag1,407,1.1725004472054013,0.3983588803697698,0.64704616501993062,0.88686407729777794,1.096627958525151,1.3267192935168177,3.3276040768417023
CAC_40,return_lag1,407,-3.5348060928065078e-05,0.012013822487883916,-0.050928881454370099,-0.0062933388672743503,0.00072326350203109999,0.0066855045572640995,0.068827634295947598
FTSE_100,garch_volatility,397,0.92280029368758876,0.26913644253025631,0.63803179870975679,0.73822280790119665,0.83472102861497077,1.0147229525197137,2.2587648244292362
FTSE_100,sentiment_lag1,397,-0.10681485920140948,0.20130395856044372,-0.87558182142674923,-0.21523012096683181,-0.10797293451364889,0.0026789637105095001,0.90958293713629235
FTSE_100,attention_lag1,397,3.7758186397984885,5.8259797500363408,1,1,2,4,58
FTSE_100,volatility_lag1,397,0.92571624473568759,0.27038441722759909,0.63803179870975679,0.73612517990704207,0.83448787234451294,1.0202057167440417,2.2587648244292362
FTSE_100,return_lag1,397,0.00013686715716214874,0.0093831156513381996,-0.039610241843269701,-0.0039430771526844004,0.00071157158723060001,0.0052475900828665998,0.038449263684332498
WIG20,garch_volatility,402,1.5838586866779139,0.44411334458153212,1.0038146818606055,1.2928465790628603,1.5326624623451321,1.7012487155368445,3.7474378830985113
WIG20,sentiment_lag1,402,-0.10529352931885255,0.20491210915870112,-0.87558182142674923,-0.21693378418778669,-0.1039508241018236,0.0058615766074759249,0.90958293713629235
WIG20,attention_lag1,402,3.7288557213930349,5.7823027956022441,1,1,2,4,58
WIG20,volatility_lag1,402,1.5862163150942072,0.44434010503828397,1.0066640935854712,1.2938549583630721,1.5328025318255243,1.7095621062148998,3.7474378830985113
WIG20,return_lag1,402,-0.00029151184133451751,0.01676919264203184,-0.1150201674846538,-0.010580336518943649,2.2397451819816562e-05,0.0099734346517137244,0.080994983742242496
