index_name,variable,unit,n,mean,standard_deviation,minimum,percentile_25,median,percentile_75,maximum,minimum_date,maximum_date
EURO_STOXX_50,log_return,decimal return,758,0.0003138311989291545,0.01144527415393087,-0.05092230932102969,-0.005265013461970848,0.0009578229196590861,0.0064418532459634146,0.0717454789293807,2022-03-04,2022-03-09
EURO_STOXX_50,return_pct,percentage-return units,758,0.031383119892915444,1.144527415393087,-5.092230932102969,-0.5265013461970848,0.09578229196590861,0.6441853245963415,7.17454789293807,2022-03-04,2022-03-09
DAX,log_return,decimal return,766,0.0002599875050194196,0.011021525900512669,-0.04508371379435531,-0.004901505041529636,0.0008054061607032331,0.0065569310200460605,0.07623189406906641,2022-03-04,2022-03-09
DAX,return_pct,percentage-return units,766,0.025998750501941982,1.102152590051267,-4.5083713794355305,-0.49015050415296363,0.08054061607032331,0.655693102004606,7.623189406906642,2022-03-04,2022-03-09
CAC_40,log_return,decimal return,769,0.0003899228227791418,0.01081902364790168,-0.0509288814543701,-0.004853351229173034,0.0010230361378131653,0.006365619530319028,0.06882763429594767,2022-03-04,2022-03-09
CAC_40,return_pct,percentage-return units,769,0.03899228227791417,1.0819023647901682,-5.09288814543701,-0.48533512291730346,0.10230361378131654,0.6365619530319028,6.882763429594767,2022-03-04,2022-03-09
FTSE_100,log_return,decimal return,753,0.0002160953580360556,0.008644492347166254,-0.039610241843269715,-0.0038003138942569376,0.0006899664634987011,0.004888821020912945,0.03844926368433252,2022-02-24,2022-02-25
FTSE_100,return_pct,percentage-return units,753,0.02160953580360558,0.8644492347166254,-3.9610241843269716,-0.38003138942569376,0.06899664634987011,0.48888210209129446,3.844926368433252,2022-02-24,2022-02-25
WIG20,log_return,decimal return,751,0.00020494707511921386,0.015073304843082443,-0.11502016748465382,-0.008836763377002316,-2.6358865410639205e-05,0.008568095520739182,0.08099498374224252,2022-02-24,2022-02-25
WIG20,return_pct,percentage-return units,751,0.020494707511921367,1.5073304843082442,-11.502016748465383,-0.8836763377002316,-0.0026358865410639203,0.8568095520739183,8.099498374224252,2022-02-24,2022-02-25
