index_name,ticker,estimation_input_units,model_specification,mu,omega,alpha,beta,alpha_plus_beta,nu,nobs
EURO_STOXX_50,^STOXX50E,percentage returns,"Constant mean; GARCH(1,1); Student-t innovations",0.09674967288248308,0.06970197031447764,0.17904888326513188,0.7911459870993234,0.9701948703644553,4.56057224742492,758
DAX,^GDAXI,percentage returns,"Constant mean; GARCH(1,1); Student-t innovations",0.08307886824281079,0.05522810634508574,0.16167105966628464,0.8101477897896309,0.9718188494559155,4.764050709495116,766
CAC_40,^FCHI,percentage returns,"Constant mean; GARCH(1,1); Student-t innovations",0.10610259477813938,0.06053272767984665,0.14076086293824658,0.8181475365631026,0.9589083995013492,5.147124173705908,769
FTSE_100,^FTSE,percentage returns,"Constant mean; GARCH(1,1); Student-t innovations",0.065256274395054,0.11727608632011438,0.18200889123451947,0.6949435457574779,0.8769524369919973,3.764886879104649,753
WIG20,WIG20,percentage returns,"Constant mean; GARCH(1,1); Student-t innovations",0.04888785921753957,0.045066658484977866,0.059887396043200224,0.918506544323054,0.9783939403662543,9.283731269859159,751
