term,statistic,EURO_STOXX_50,DAX,CAC_40,FTSE_100,WIG20
const,coefficient,0.10758658592524314,0.083276904750941225,0.089745954728702601,0.13967498935642547,0.10598914946852536
const,HAC standard error,0.020953665244314836,0.01877552188661263,0.019250969719481335,0.022699840727686781,0.030183245147793927
const,p-value,2.8289568778424117e-07,9.190250839562202e-06,3.1331457754309033e-06,7.5970206201818209e-10,0.00044554746721824513
const,95% CI lower,0.066518156702277398,0.04647755806223694,0.052014747411048036,0.095184119075363893,0.046831076042305922
const,95% CI upper,0.14865501514820889,0.12007625143964551,0.12747716204635717,0.18416585963748705,0.16514722289474482
sentiment_lag1,coefficient,-0.0088023265301553685,-0.01160379968180187,-0.013180859299880483,-0.010544970081450031,0.0079130388611421514
sentiment_lag1,HAC standard error,0.030342176054046981,0.02413789545246323,0.021938895647017152,0.021448069471592435,0.013885200502884
sentiment_lag1,p-value,0.77173819134921162,0.63070872453079452,0.54797409087526716,0.62296590937488305,0.56875221269137854
sentiment_lag1,95% CI lower,-0.068271898808661108,-0.058913205431222949,-0.056180304628616666,-0.052582413783684237,-0.019301454042627935
sentiment_lag1,95% CI upper,0.050667245748350367,0.03570560606761921,0.029818586028855697,0.031492473620784167,0.035127531764912234
attention_lag1,coefficient,0.0071534852151317356,0.0065134365636405804,0.0062805530173323312,0.0044976589777828936,0.0080430528791780847
attention_lag1,HAC standard error,0.0019214109320789454,0.001992169810322159,0.0016793747701885965,0.0026323881269113224,0.0042193232560518842
attention_lag1,p-value,0.00019684016580985071,0.0010773059423208103,0.00018415484144075831,0.087527841382206331,0.056618763850885441
attention_lag1,95% CI lower,0.0033875889887554664,0.002608855484321158,0.0029890389512174523,-0.00066172694429415119,-0.00022666874181588061
attention_lag1,95% CI upper,0.010919381441508004,0.010418017642960003,0.009572067083447211,0.0096570448998599383,0.016312774500172052
volatility_lag1,coefficient,0.88676561452315361,0.90227166434508488,0.89798689887114391,0.82699178208170876,0.91313620691387765
volatility_lag1,HAC standard error,0.019549889115473139,0.01834718703872229,0.020034152859013027,0.0313839427957886,0.026452738542301787
volatility_lag1,p-value,0,0,0,5.0261133310426124e-153,4.0854916612057795e-261
volatility_lag1,95% CI lower,0.84844853595507463,0.86631183853156912,0.85872068080670827,0.76548038450909783,0.86128979207851153
volatility_lag1,95% CI upper,0.92508269309123259,0.93823149015860063,0.93725311693557956,0.88850317965431969,0.96498262174924376
return_lag1,coefficient,-1.7642384850270336,-1.4582921731409666,-1.4850320262790404,-3.9682763517185373,-0.95980987054519118
return_lag1,HAC standard error,1.8787872446697562,2.1085222265843666,1.5291676206562705,1.5082464927965358,0.69654378828733032
return_lag1,p-value,0.34771509623908881,0.48917718088404805,0.33147981005000293,0.0085120778209525575,0.16821546457792991
return_lag1,95% CI lower,-5.4465938191929988,-5.5909197978485281,-4.4821454890901382,-6.9243851574085973,-2.325010609243451
return_lag1,95% CI upper,1.9181168491389313,2.6743354515665949,1.5120814365320576,-1.0121675460284769,0.40539086815306868
model,observations,401,406,407,397,402
model,R-squared,0.87834546596383467,0.90371549252189443,0.9062816700367673,0.78754401503829596,0.96105080692300959
model,HAC max lag,5,5,5,5,5
