date,index_name,ticker,data_source,close_level,log_return,return_pct,garch_volatility,sentiment,attention,sentiment_lag1,attention_lag1,volatility_lag1,return_lag1,regression_eligible
2021-01-04,EURO_STOXX_50,^STOXX50E,Yahoo Finance,3564.389892578125,,,,0.0267215295613784,1,,,,,False
2021-01-05,EURO_STOXX_50,^STOXX50E,Yahoo Finance,3547.85009765625,-0.004651087353958,-0.4651087353958094,0.9122050613741134,,0,0.0267215295613784,1.0,,,False
2021-01-06,EURO_STOXX_50,^STOXX50E,Yahoo Finance,3611.080078125,0.0176651044727981,1.7665104472798188,0.8857493262529195,,0,,0.0,0.9122050613741134,-0.004651087353958,False
2021-01-07,EURO_STOXX_50,^STOXX50E,Yahoo Finance,3622.419921875,0.0031353709932236,0.3135370993223671,1.0906894202380324,0.336831514001824,1,,0.0,0.8857493262529195,0.0176651044727981,False
2021-01-08,EURO_STOXX_50,^STOXX50E,Yahoo Finance,3645.050048828125,0.006227806977629,0.6227806977629031,1.0095873701437923,0.0052259086320797,1,0.336831514001824,1.0,1.0906894202380324,0.0031353709932236,True
2021-01-11,EURO_STOXX_50,^STOXX50E,Yahoo Finance,3620.6201171875,-0.0067247819259482,-0.6724781925948252,0.9620993032769852,,0,0.0052259086320797,1.0,1.0095873701437923,0.006227806977629,True
2021-01-12,EURO_STOXX_50,^STOXX50E,Yahoo Finance,3612.1298828125,-0.0023477206525043,-0.2347720652504327,0.9528692071151268,,0,,0.0,0.9620993032769852,-0.0067247819259482,False
2021-01-13,EURO_STOXX_50,^STOXX50E,Yahoo Finance,3616.510009765625,0.0012118815031018,0.1211881503101873,0.8987265040769855,,0,,0.0,0.9528692071151268,-0.0023477206525043,False
2021-01-14,EURO_STOXX_50,^STOXX50E,Yahoo Finance,3641.3701171875,0.0068505415384437,0.6850541538443722,0.8419173948831032,,0,,0.0,0.8987265040769855,0.0012118815031018,False
2021-01-15,EURO_STOXX_50,^STOXX50E,Yahoo Finance,3599.550048828125,-0.0115511654325148,-1.155116543251481,0.8321389012729085,,0,,0.0,0.8419173948831032,0.0068505415384437,False
