date,index_name,ticker,data_source,close_level
2021-01-04,EURO_STOXX_50,^STOXX50E,Yahoo Finance,3564.389892578125
2021-01-05,EURO_STOXX_50,^STOXX50E,Yahoo Finance,3547.85009765625
2021-01-06,EURO_STOXX_50,^STOXX50E,Yahoo Finance,3611.080078125
2021-01-07,EURO_STOXX_50,^STOXX50E,Yahoo Finance,3622.419921875
2021-01-08,EURO_STOXX_50,^STOXX50E,Yahoo Finance,3645.050048828125
2021-01-11,EURO_STOXX_50,^STOXX50E,Yahoo Finance,3620.6201171875
2021-01-12,EURO_STOXX_50,^STOXX50E,Yahoo Finance,3612.1298828125
2021-01-13,EURO_STOXX_50,^STOXX50E,Yahoo Finance,3616.510009765625
2021-01-14,EURO_STOXX_50,^STOXX50E,Yahoo Finance,3641.3701171875
2021-01-15,EURO_STOXX_50,^STOXX50E,Yahoo Finance,3599.550048828125
2021-01-18,EURO_STOXX_50,^STOXX50E,Yahoo Finance,3602.669921875
2021-01-19,EURO_STOXX_50,^STOXX50E,Yahoo Finance,3595.419921875
2021-01-20,EURO_STOXX_50,^STOXX50E,Yahoo Finance,3624.0400390625
2021-01-21,EURO_STOXX_50,^STOXX50E,Yahoo Finance,3618.35009765625
2021-01-22,EURO_STOXX_50,^STOXX50E,Yahoo Finance,3602.409912109375
2021-01-25,EURO_STOXX_50,^STOXX50E,Yahoo Finance,3553.139892578125
2021-01-26,EURO_STOXX_50,^STOXX50E,Yahoo Finance,3592.830078125
2021-01-27,EURO_STOXX_50,^STOXX50E,Yahoo Finance,3536.3798828125
2021-01-28,EURO_STOXX_50,^STOXX50E,Yahoo Finance,3557.0400390625
2021-01-29,EURO_STOXX_50,^STOXX50E,Yahoo Finance,3481.43994140625
2021-02-01,EURO_STOXX_50,^STOXX50E,Yahoo Finance,3530.85009765625
2021-02-02,EURO_STOXX_50,^STOXX50E,Yahoo Finance,3590.4599609375
2021-02-03,EURO_STOXX_50,^STOXX50E,Yahoo Finance,3609.75
2021-02-04,EURO_STOXX_50,^STOXX50E,Yahoo Finance,3642.1201171875
2021-02-05,EURO_STOXX_50,^STOXX50E,Yahoo Finance,3655.77001953125
2021-02-08,EURO_STOXX_50,^STOXX50E,Yahoo Finance,3665.510009765625
2021-02-09,EURO_STOXX_50,^STOXX50E,Yahoo Finance,3661.1298828125
2021-02-10,EURO_STOXX_50,^STOXX50E,Yahoo Finance,3648.3701171875
2021-02-11,EURO_STOXX_50,^STOXX50E,Yahoo Finance,3671.679931640625
2021-02-12,EURO_STOXX_50,^STOXX50E,Yahoo Finance,3695.610107421875
2021-02-15,EURO_STOXX_50,^STOXX50E,Yahoo Finance,3734.199951171875
2021-02-16,EURO_STOXX_50,^STOXX50E,Yahoo Finance,3726.39990234375
2021-02-17,EURO_STOXX_50,^STOXX50E,Yahoo Finance,3699.85009765625
2021-02-18,EURO_STOXX_50,^STOXX50E,Yahoo Finance,3681.0400390625
2021-02-19,EURO_STOXX_50,^STOXX50E,Yahoo Finance,3713.4599609375
2021-02-22,EURO_STOXX_50,^STOXX50E,Yahoo Finance,3699.85009765625
2021-02-23,EURO_STOXX_50,^STOXX50E,Yahoo Finance,3689.10009765625
2021-02-24,EURO_STOXX_50,^STOXX50E,Yahoo Finance,3705.989990234375
2021-02-25,EURO_STOXX_50,^STOXX50E,Yahoo Finance,3685.280029296875
2021-02-26,EURO_STOXX_50,^STOXX50E,Yahoo Finance,3636.43994140625
2021-03-01,EURO_STOXX_50,^STOXX50E,Yahoo Finance,3706.6201171875
2021-03-02,EURO_STOXX_50,^STOXX50E,Yahoo Finance,3707.719970703125
2021-03-03,EURO_STOXX_50,^STOXX50E,Yahoo Finance,3712.780029296875
2021-03-04,EURO_STOXX_50,^STOXX50E,Yahoo Finance,3704.85009765625
2021-03-05,EURO_STOXX_50,^STOXX50E,Yahoo Finance,3669.5400390625
2021-03-08,EURO_STOXX_50,^STOXX50E,Yahoo Finance,3763.239990234375
2021-03-09,EURO_STOXX_50,^STOXX50E,Yahoo Finance,3786.050048828125
2021-03-10,EURO_STOXX_50,^STOXX50E,Yahoo Finance,3819.919921875
2021-03-11,EURO_STOXX_50,^STOXX50E,Yahoo Finance,3845.639892578125
2021-03-12,EURO_STOXX_50,^STOXX50E,Yahoo Finance,3833.360107421875
2021-03-15,EURO_STOXX_50,^STOXX50E,Yahoo Finance,3829.840087890625
2021-03-16,EURO_STOXX_50,^STOXX50E,Yahoo Finance,3850.9599609375
2021-03-17,EURO_STOXX_50,^STOXX50E,Yahoo Finance,3849.739990234375
2021-03-18,EURO_STOXX_50,^STOXX50E,Yahoo Finance,3867.5400390625
2021-03-19,EURO_STOXX_50,^STOXX50E,Yahoo Finance,3837.02001953125
2021-03-22,EURO_STOXX_50,^STOXX50E,Yahoo Finance,3833.840087890625
2021-03-23,EURO_STOXX_50,^STOXX50E,Yahoo Finance,3827.02001953125
2021-03-24,EURO_STOXX_50,^STOXX50E,Yahoo Finance,3832.550048828125
2021-03-25,EURO_STOXX_50,^STOXX50E,Yahoo Finance,3832.570068359375
2021-03-26,EURO_STOXX_50,^STOXX50E,Yahoo Finance,3866.679931640625
2021-03-29,EURO_STOXX_50,^STOXX50E,Yahoo Finance,3882.8701171875
