date,index_name,ticker,data_source,close_level,log_return,return_pct,garch_volatility
2021-01-04,EURO_STOXX_50,^STOXX50E,Yahoo Finance,3564.389892578125,,,
2021-01-05,EURO_STOXX_50,^STOXX50E,Yahoo Finance,3547.85009765625,-0.0046510873539580945,-0.46510873539580944,0.9122050613741134
2021-01-06,EURO_STOXX_50,^STOXX50E,Yahoo Finance,3611.080078125,0.017665104472798187,1.7665104472798188,0.8857493262529195
2021-01-07,EURO_STOXX_50,^STOXX50E,Yahoo Finance,3622.419921875,0.0031353709932236714,0.3135370993223671,1.0906894202380324
2021-01-08,EURO_STOXX_50,^STOXX50E,Yahoo Finance,3645.050048828125,0.006227806977629031,0.6227806977629031,1.0095873701437925
2021-01-11,EURO_STOXX_50,^STOXX50E,Yahoo Finance,3620.6201171875,-0.006724781925948252,-0.6724781925948252,0.9620993032769853
2021-01-12,EURO_STOXX_50,^STOXX50E,Yahoo Finance,3612.1298828125,-0.0023477206525043272,-0.23477206525043273,0.9528692071151268
2021-01-13,EURO_STOXX_50,^STOXX50E,Yahoo Finance,3616.510009765625,0.001211881503101873,0.1211881503101873,0.8987265040769855
2021-01-14,EURO_STOXX_50,^STOXX50E,Yahoo Finance,3641.3701171875,0.006850541538443722,0.6850541538443722,0.8419173948831032
2021-01-15,EURO_STOXX_50,^STOXX50E,Yahoo Finance,3599.550048828125,-0.011551165432514809,-1.155116543251481,0.8321389012729085
2021-01-18,EURO_STOXX_50,^STOXX50E,Yahoo Finance,3602.669921875,0.0008663643306397995,0.08663643306397995,0.9476998194349063
2021-01-19,EURO_STOXX_50,^STOXX50E,Yahoo Finance,3595.419921875,-0.0020144239955396264,-0.20144239955396265,0.8833324078735193
2021-01-20,EURO_STOXX_50,^STOXX50E,Yahoo Finance,3624.0400390625,0.007928644877053168,0.7928644877053168,0.8384122314269926
2021-01-21,EURO_STOXX_50,^STOXX50E,Yahoo Finance,3618.35009765625,-0.0015712886131562835,-0.15712886131562834,0.8441498635737955
2021-01-22,EURO_STOXX_50,^STOXX50E,Yahoo Finance,3602.409912109375,-0.004415106282172152,-0.4415106282172152,0.8031216372206794
2021-01-25,EURO_STOXX_50,^STOXX50E,Yahoo Finance,3553.139892578125,-0.013771352180007483,-1.3771352180007483,0.7949021137943332
